drug pair    ONCNonInteruptive    KEGG
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00393    [(None, None)]    [('http://rest.kegg.jp/ddi/D00235\r', None)]
http://bio2rdf.org/drugbank:DB00774-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB01136-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [('http://rest.kegg.jp/ddi/D00255\r', None)]
http://bio2rdf.org/drugbank:DB01021-http://bio2rdf.org/drugbank:DB00573    [(None, None)]    [('http://rest.kegg.jp/ddi/D00658\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB01203    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB06695-http://bio2rdf.org/drugbank:DB00620    [(None, None)]    [('http://rest.kegg.jp/ddi/D00385\r', None)]
http://bio2rdf.org/drugbank:DB08807-http://bio2rdf.org/drugbank:DB00401    [(None, None)]    [('http://rest.kegg.jp/ddi/D00618\r', None)]
http://bio2rdf.org/drugbank:DB00436-http://bio2rdf.org/drugbank:DB00784    [(None, None)]    [('http://rest.kegg.jp/ddi/D00151\r', None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB01203    [(None, None)]    [('http://rest.kegg.jp/ddi/D00330\r', None)]
http://bio2rdf.org/drugbank:DB00612-http://bio2rdf.org/drugbank:DB00401    [(None, None)]    [('http://rest.kegg.jp/ddi/D00618\r', None)]
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB00861    [(None, None)]    [('http://rest.kegg.jp/ddi/D00130\r', None)]
http://bio2rdf.org/drugbank:DB00975-http://bio2rdf.org/drugbank:DB00620    [(None, None)]    [('http://rest.kegg.jp/ddi/D00302\r', None)]
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB01050    [(None, None)]    [('http://rest.kegg.jp/ddi/D00126\r', None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB01023    [(None, None)]    [('http://rest.kegg.jp/ddi/D00319\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00178    [(None, None)]    [('http://rest.kegg.jp/ddi/D00340\r', None)]
http://bio2rdf.org/drugbank:DB00232-http://bio2rdf.org/drugbank:DB00554    [(None, None)]    [('http://rest.kegg.jp/ddi/D00127\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00991    [(None, None)]    [('http://rest.kegg.jp/ddi/D00340\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB01297    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00606-http://bio2rdf.org/drugbank:DB00722    [(None, None)]    [('http://rest.kegg.jp/ddi/D00362\r', None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB01203    [(None, None)]    [('http://rest.kegg.jp/ddi/D00127\r', None)]
http://bio2rdf.org/drugbank:DB00880-http://bio2rdf.org/drugbank:DB00722    [(None, None)]    [('http://rest.kegg.jp/ddi/D00362\r', None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [('http://rest.kegg.jp/ddi/D00330\r', None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [('http://rest.kegg.jp/ddi/D00513\r', None)]
http://bio2rdf.org/drugbank:DB00790-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB06725    [(None, None)]    [('http://rest.kegg.jp/ddi/D00421\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00749    [(None, None)]    [('http://rest.kegg.jp/ddi/D00315\r', None)]
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00991    [(None, None)]    [('http://rest.kegg.jp/ddi/D00362\r', None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [('http://rest.kegg.jp/ddi/D00235\r', None)]
http://bio2rdf.org/drugbank:DB01359-http://bio2rdf.org/drugbank:DB00401    [(None, None)]    [('http://rest.kegg.jp/ddi/D00602\r', None)]
http://bio2rdf.org/drugbank:DB00880-http://bio2rdf.org/drugbank:DB06725    [(None, None)]    [('http://rest.kegg.jp/ddi/D00519\r', None)]
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00605    [(None, None)]    [('http://rest.kegg.jp/ddi/D00120\r', None)]
http://bio2rdf.org/drugbank:DB06228-http://bio2rdf.org/drugbank:DB00860    [(None, None)]    [('http://rest.kegg.jp/ddi/D00472\r', None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB01203    [(None, None)]    [('http://rest.kegg.jp/ddi/D00432\r', None)]
